id,pred
36,1.122061
2157,0.9389241
9385,0.87794715
14434,1.0776216
9462,0.9201812
5773,1.2423308
11975,0.9280968
10047,0.9454781
9595,1.0832705
12085,0.9612831
10423,0.9377432
5353,0.9300213
1967,0.87957555
7192,0.8809008
13483,0.93299633
8158,0.90414476
1482,0.8873801
5833,0.9916893
5276,1.0724263
12541,0.9118248
14694,0.8842615
11505,1.0279127
3948,0.87794715
12175,0.9857129
108,1.2581091
2520,1.2269839
11334,0.90645504
9535,0.9438188
9788,0.91659296
3217,0.9004135
9102,1.2528954
8059,0.87809724
2340,0.87794715
5727,0.9894029
13074,0.98294383
13058,0.92427284
12524,1.0322491
13919,1.0907141
1135,0.9176097
2266,1.0541614
13837,0.8781469
312,0.9868424
5129,0.87794715
333,1.0846254
9710,0.9043069
4895,0.9916148
12948,0.956949
9748,0.91584927
10713,0.93340635
11130,0.904007
7685,0.9266447
14382,1.162185
1622,0.99313664
9747,0.9764248
6176,1.0340769
8001,0.87972707
3843,0.8879072
5369,1.0027225
4013,0.8940755
7189,0.93645614
6627,1.0800986
1531,1.0157369
7872,1.0372953
7822,1.1583323
7939,0.96873534
11694,0.9025885
12404,0.87794715
11477,0.87794715
10036,0.89851165
8673,1.0374527
13663,0.9161023
158,0.8788827
12270,0.94372416
4775,1.051323
10732,1.1029451
12761,0.87972707
11443,0.94088334
14024,0.9840846
1456,0.9414002
15040,1.0181313
1777,1.0704021
5176,1.0146508
10217,0.97122115
14211,0.88978684
11805,1.1082944
1332,0.8866208
2539,1.1700714
12008,0.92225444
219,1.1139696
3415,0.88087606
9014,0.87794715
2606,0.9669038
3913,1.1452633
1811,0.9265272
500,0.9337955
14528,0.93841183
3045,0.927416
4740,0.9146825
13532,1.2394168
5973,0.9851609
1524,0.90621364
6710,0.9306586
10824,1.0870281
2242,0.99591905
13571,0.9195271
14078,1.0285513
14089,0.8841765
4511,1.0227678
14168,0.8928237
9406,0.9268814
513,1.3223901
3346,0.9326321
8857,0.89919704
2470,1.1571474
3497,0.87794715
13452,0.93878126
5450,0.87794715
5340,0.9235763
10909,0.98559046
12419,0.9584851
1393,0.893138
14390,0.9698657
2721,0.87794715
2093,0.9175544
8024,0.90008837
8759,0.9689486
6275,1.0074629
6465,0.92306304
4041,1.0162164
10700,1.0092824
11312,1.0157852
5533,0.8900308
4905,1.0174601
3094,0.8944828
8732,1.0559655
13789,0.8919574
4064,0.91118115
7358,1.0694482
8580,1.3286533
926,1.1808977
13516,0.8867616
11615,0.96478605
1630,1.3651226
6996,0.8795459
3308,0.92318374
6713,0.9895003
9983,0.8902353
11869,0.93097734
8366,0.9817499
13751,0.90815246
1832,0.92267567
14756,0.95262146
10385,0.9206849
12411,0.9258458
8478,0.9529927
6267,0.87794715
11803,0.96316946
3744,0.9653156
10541,0.98852104
5642,1.0586927
12459,0.88681036
2660,0.8821019
8975,0.8865139
193,1.0191779
11779,0.925344
5337,0.9718602
12817,0.87794715
6310,1.1371408
10836,0.92615163
9078,1.0259371
6272,1.0433038
14614,1.1179001
11290,0.91608596
9887,0.9047514
8737,0.9197939
12187,0.9982114
11445,0.9355427
4131,1.0197933
4753,0.88096076
4485,1.0675056
7134,1.6945425
7865,0.95293635
10276,0.980786
8160,1.194653
466,0.91900563
10688,0.9686191
14681,0.95712066
14860,1.0053962
392,0.9295292
7028,0.89851165
13586,0.8793096
10890,1.1271843
3362,0.89381343
14593,1.0440828
3981,1.0247478
2860,0.9334761
11826,0.99837685
5633,1.2385111
5202,1.0173883
7501,0.89851165
3597,1.3298116
12210,0.92281395
2685,0.9868057
881,0.939415
11122,1.0554878
490,1.0481691
2929,0.9080126
14696,0.928388
11871,0.88155115
14934,0.958325
10955,1.0022434
14962,1.0725429
10083,0.9022823
5673,0.87794715
83,1.026039
7556,0.97380435
13273,1.3416977
10149,1.0548607
11095,0.9480932
1580,1.4105537
5083,1.5323387
6351,1.1075764
3331,0.9271853
12975,1.1824485
6704,0.93107045
1113,0.8858097
8619,0.9315163
11920,0.94563496
10263,0.9071196
13812,1.0048097
6065,0.8928237
11247,0.9240494
8377,0.9437949
2074,0.969622
14723,1.1459699
7992,0.9324091
8808,0.92850244
2962,0.87794715
1657,0.90760887
13560,0.91042876
3021,1.7405605
9941,1.1080935
10034,0.9682427
9457,1.2494667
14097,1.0912743
13754,1.0398039
13772,0.98667055
4262,0.9259391
5189,0.90547895
5570,0.96286404
3436,1.017105
928,0.91137767
1405,0.92343026
13207,0.89574414
15083,0.9130734
13003,1.0184007
4221,1.032104
1499,0.92885745
8596,0.91400594
13164,0.91993254
1339,1.0123417
3959,1.1421305
2681,0.89868134
13815,1.1706868
5676,0.96599674
3574,1.133573
6393,0.8786212
10186,0.8816321
14989,0.9126172
3782,1.0301322
6459,1.2274333
9152,1.159462
11400,0.96668994
2131,1.0495734
14297,0.8914825
406,0.99063075
10708,1.1063092
13573,1.0446024
4878,1.1592431
6334,0.91096705
3429,1.1979061
260,0.8885561
13596,1.0205042
5822,0.938421
3945,1.0650849
939,0.9618506
10703,0.90809345
7089,0.9500238
3477,0.98738885
10673,1.1607363
11878,1.1446607
12956,1.0618434
6104,1.0498589
11058,0.9451939
2223,0.92972267
3330,0.8921585
13253,0.95030296
669,0.9819329
6371,0.8876969
14171,0.97216237
14413,1.1936688
13262,0.92775416
2615,1.0369105
995,0.9441569
10850,0.99680156
2851,0.9747007
1629,0.9855195
7835,1.053823
2145,0.95829684
986,1.1732063
7306,0.98206496
11757,0.9529685
9695,1.1935408
5442,0.8858708
2944,0.93097484
2100,0.92890763
13248,1.0106488
12555,0.8971529
10544,0.9131446
1577,0.9725218
12799,0.9317031
11618,0.8796243
14678,1.0674517
3607,1.1125567
14227,0.89675725
14038,0.9075722
6453,0.9278846
9587,0.9729743
6649,0.88857275
5279,0.8798709
2998,0.9934617
13283,0.9176934
13485,1.0281383
9960,0.95563424
4168,0.9427226
10669,0.89574975
5304,1.1032622
2115,0.9441338
2534,0.87794715
6361,0.8902749
9021,0.982905
1002,0.90723187
12908,0.8941201
1009,0.9832454
3049,0.9581229
1081,0.94113195
6842,0.90050244
7592,1.0587642
4436,0.89851165
9583,0.99234784
4901,0.8856198
13597,0.87820464
12886,1.0177807
2940,1.0676665
1262,1.0579802
13643,1.0060172
7221,1.1958727
2768,1.0088933
416,0.9883519
9092,1.0315189
10993,0.89231694
3779,0.9343376
9031,1.0317711
5602,0.9973561
8210,0.88977647
12432,1.1257384
8045,0.89777905
652,0.87794715
7640,1.0637244
3469,0.918036
4263,1.0298284
2060,0.961651
10832,0.89767224
4099,0.96994555
2118,0.89851165
3620,1.0492742
6287,0.9571531
5953,0.97125834
1879,0.9285804
118,1.1966646
10449,0.8923875
6664,0.903376
12362,1.0272771
8831,0.89851165
11933,0.8781469
14306,0.95569205
1653,0.9062859
6410,1.0200659
13620,0.8964262
9262,0.9673517
7256,0.9026164
11376,1.071904
12251,0.9933314
14294,0.96140337
2346,0.9022125
6375,1.0255107
15042,0.89347243
9290,0.89851165
11836,0.95229816
9395,1.0728593
